user_id,book_id,is_read,rating,is_reviewed
128807,14872,1,3,1
292091,33553,1,5,0
284766,1045,0,0,0
78493,573454,1,4,1
139813,1546570,1,4,0
288086,56873,0,0,0
150187,392674,0,0,0
52896,7968,0,0,0
336121,951474,1,2,0
357755,1860410,1,4,0
258924,1313,1,0,0
123784,1063,0,0,0
32606,13834,0,0,0
171047,1543,0,0,0
144594,37381,1,5,0
254625,37825,0,0,0
375578,28294,0,0,0
158140,713494,0,0,0
17259,6644,1,5,0
281236,7348,1,5,0
165733,24047,1,4,0
319952,1388363,0,0,0
339831,25073,1,5,1
360909,140639,0,0,0
24528,24349,1,5,0
809955,6677,1,4,0
419964,17866,0,0,0
124254,19520,0,0,0
767046,804204,1,4,0
184568,49748,1,4,0
501339,58106,0,0,0
229986,655106,0,0,0
276842,6119,0,0,0
181445,44755,1,4,0
201842,768,0,0,0
114722,25565,1,3,0
5964,134568,0,0,0
418094,21272,0,0,0
216509,12948,0,0,0
284574,7467,1,3,1
279330,60869,1,5,0
145489,48583,1,0,0
321715,495323,1,4,0
137047,1267224,0,0,0
278502,36401,0,0,0
15987,25774,1,3,0
88814,7943,0,0,0
435665,17270,1,4,0
313015,966883,1,5,0
37380,1002,1,3,0
289085,6835,1,3,0
138986,807377,1,5,1
362051,461,1,4,0
44980,1010,1,4,1
324835,76578,0,0,0
357228,41949,0,0,0
57773,20911,1,0,0
372907,25232,0,0,0
73099,220585,0,0,0
314262,7337,1,4,0
162214,238377,1,2,0
176229,581955,0,0,0
89451,1471,0,0,0
143252,18050,1,5,1
746649,961635,0,0,0
69438,5812,0,0,0
440264,177398,1,4,0
669021,82374,1,5,0
113940,527380,1,5,0
151854,23982,0,0,0
84798,1687956,1,4,1
191343,498,0,0,0
82127,147356,0,0,0
431704,14067,1,4,0
372706,150766,1,1,1
250155,57422,0,0,0
406608,48901,0,0,0
343017,185917,0,0,0
220226,29795,1,4,0
336731,144923,0,0,0
49050,118458,1,3,0
281051,7136,0,0,0
133628,109741,0,0,0
650914,39443,1,4,1
274429,2368,0,0,0
159337,1435606,1,1,1
306964,619566,1,4,0
89379,29343,1,4,0
189967,13550,0,0,0
376374,47045,0,0,0
140702,1209642,1,4,0
146501,106122,1,2,0
779481,856,1,5,0
125473,174236,0,0,0
82892,42559,1,5,0
74587,123972,0,0,0
39611,328412,1,0,0
304460,35790,1,5,0
404140,68567,1,5,0
374702,5014,0,0,0
233282,327108,1,2,0
254260,27547,1,5,0
139931,7459,1,4,0
18738,773,1,3,0
368502,51056,0,0,0
385097,6648,0,0,0
238247,26067,0,0,0
209929,345543,1,5,1
230915,1089434,0,0,0
50476,26213,0,0,0
574696,12447,0,0,0
333596,949861,1,3,1
304853,300656,0,0,0
393017,32578,1,5,0
189517,6554,0,0,0
13213,65476,1,5,0
254186,1603,1,4,0
207001,4513,1,5,0
284728,1605,1,5,0
67291,29015,1,4,0
157025,1007,1,4,1
230377,2345,1,5,0
322903,5914,0,0,0
22555,490579,0,0,0
18852,7506,1,5,0
412021,726677,0,0,0
111574,392856,0,0,0
415879,930418,0,0,0
13824,670,1,5,0
25596,554624,0,0,0
108130,192431,1,3,0
355070,278795,0,0,0
261236,10304,0,0,0
121288,6969,0,0,0
197031,156305,0,0,0
426081,73649,1,5,0
329020,809418,1,5,1
282052,199876,0,0,0
319137,309227,0,0,0
350663,1095056,0,0,0
234580,1540707,1,5,1
20352,1523,1,5,0
246137,17072,0,0,0
204923,447044,0,0,0
253269,126,0,0,0
168485,275321,0,0,0
389159,96034,1,2,0
226008,150995,0,0,0
393213,164077,0,0,0
8065,682454,0,0,0
96872,18083,0,0,0
268295,156,0,0,0
77583,400153,0,0,0
22573,78621,1,1,0
75870,419978,1,2,1
237999,704205,1,3,0
181933,6477,0,0,0
347964,487543,0,0,0
257984,13489,0,0,0
444748,13826,1,5,0
167839,37297,0,0,0
107433,46208,1,5,0
349905,14859,0,0,0
581678,1296859,1,5,0
144789,10297,1,0,0
238858,185393,1,5,0
130053,17529,0,0,0
218578,935,1,5,0
186962,116727,0,0,0
222671,14092,1,3,0
147849,1332086,0,0,0
263133,1203,1,5,0
279407,13099,1,5,0
432939,19576,1,3,0
195664,58235,1,5,1
308580,16527,0,0,0
150695,16319,0,0,0
176515,98691,0,0,0
202330,521113,0,0,0
363110,421954,1,3,1
194702,125309,0,0,0
191993,319221,0,0,0
65620,46929,0,0,0
344009,84016,0,0,0
496029,848,1,5,0
384970,46929,0,0,0
50556,93655,0,0,0
231225,314769,1,4,1
104580,50899,0,0,0
731106,23476,1,4,0
155540,275866,1,5,0
213459,417754,0,0,0
437184,51044,0,0,0
46265,14917,0,0,0
194423,61273,0,0,0
260451,116596,1,5,1
302696,6535,1,5,0
73225,378068,0,0,0
280131,14546,0,0,0
359458,629321,0,0,0
259326,311308,0,0,0
391517,23110,0,0,0
278380,2402,1,5,0
64716,204012,1,2,0
421007,110010,0,0,0
129455,432678,0,0,0
813215,12758,0,0,0
49427,5702,1,4,0
73371,374004,1,3,0
299608,242191,1,2,1
514037,185027,0,0,0
163314,853,1,4,0
308960,1377875,1,4,1
336187,4768,1,3,0
212371,62492,0,0,0
58125,126851,0,0,0
67409,154785,1,3,1
310772,39393,0,0,0
403657,84311,0,0,0
436900,14627,0,0,0
71807,925471,0,0,0
31815,264929,1,1,0
409407,1010157,0,0,0
825415,996,1,5,0
98786,21320,1,5,0
8616,21085,0,0,0
129287,6294,1,4,0
184403,633790,1,4,0
214917,90091,0,0,0
414308,117536,1,5,0
121477,7936,1,3,1
25734,202482,1,4,0
67029,145340,0,0,0
358364,26196,1,0,0
375123,555878,0,0,0
116912,71581,0,0,0
104788,15482,0,0,0
44896,17613,0,0,0
388380,178532,1,0,0
333934,157871,0,0,0
280675,1105600,1,4,1
285738,1003,0,0,0
486268,14841,0,0,0
391903,138850,1,2,0
265192,11954,1,4,1
146813,13330,1,2,0
316926,931022,0,0,0
307163,18110,0,0,0
424632,383977,1,4,0
28011,20735,1,5,0
331350,864926,1,4,0
273451,22853,1,5,0
195992,61545,0,0,0
336821,226816,0,0,0
22555,89399,0,0,0
288687,16320,1,5,0
54883,1125458,1,3,0
80380,392323,1,0,0
367609,21958,1,4,1
63716,6482,1,4,1
354713,75474,0,0,0
270056,135326,0,0,0
270600,359195,0,0,0
225086,699618,1,3,1
304312,15504,0,0,0
54130,19263,1,5,0
237089,51834,0,0,0
823974,6398,1,5,0
83009,1183,0,0,0
127791,47604,1,4,0
46945,82260,1,4,0
169831,6403,1,0,0
383101,14515,0,0,0
325494,21941,0,0,0
116517,71227,1,4,1
814652,107063,1,5,0
157256,13215,0,0,0
431330,151750,1,0,0
330222,14060,1,2,1
72398,4720,1,5,0
256408,943,1,4,0
789437,868354,1,4,0
178752,677,1,5,0
218857,28368,0,0,0
344201,14084,1,5,0
40113,2345,1,2,0
368459,689229,0,0,0
9880,708533,0,0,0
325833,14628,1,4,0
136821,71560,0,0,0
280329,1804369,0,0,0
502998,14824,1,3,0
223137,936878,1,4,0
148488,35912,1,4,0
83555,6791,1,4,0
318464,24177,1,4,0
232414,6083,0,0,0
27120,34286,0,0,0
389269,45897,1,5,0
409918,7898,1,3,0
433044,22071,1,4,0
669849,7432,1,3,0
189678,50325,0,0,0
6606,190747,1,5,1
441555,135850,1,4,0
366743,21949,1,5,1
344972,556290,1,4,1
138010,23201,0,0,0
200072,562045,1,5,1
268051,815323,1,0,0
619828,459,1,5,0
88533,548816,1,5,1
195059,93841,0,0,0
234504,4990,1,3,0
165733,76253,0,0,0
328191,7057,0,0,0
384741,2289911,1,5,1
784385,8058,1,5,0
75458,6791,1,2,0
85319,59023,1,4,0
376190,150018,0,0,0
187760,520740,1,0,0
414545,295043,0,0,0
113154,996,0,0,0
436886,24615,1,5,0
449430,110076,0,0,0
243452,497299,0,0,0
50078,21314,0,0,0
422258,12997,1,4,0
26824,197,1,2,0
261903,12194,0,0,0
72150,21739,0,0,0
7519,13416,1,3,0
202310,500815,1,5,0
197927,465499,0,0,0
425017,7428,1,0,0
22130,325372,1,3,0
63715,19958,1,4,0
139698,63719,1,4,0
261831,875015,0,0,0
271360,700,1,4,0
394370,99161,0,0,0
619163,7421,1,3,0
110024,7972,1,0,0
430918,383286,0,0,0
3328,57073,0,0,0
388530,13321,0,0,0
210921,410,0,0,0
110649,21402,0,0,0
260223,12437,0,0,0
154963,17037,1,5,0
82367,28589,1,5,0
45390,1091821,0,0,0
148016,7092,1,5,0
88358,959963,1,5,0
360656,1584926,1,5,1
420256,8880,1,4,0
224521,1188,0,0,0
173101,369529,1,1,1
142494,8314,0,0,0
136630,212179,1,5,0
89355,60225,0,0,0
325011,2252,0,0,0
238124,1511410,0,0,0
94992,62162,0,0,0
177805,58862,0,0,0
66076,178237,1,4,1
222264,106580,0,0,0
378273,13139,0,0,0
147775,111753,0,0,0
430515,24046,1,5,0
97726,47759,1,1,0
3118,167459,1,5,0
60126,526289,0,0,0
301306,1632758,0,0,0
399469,131720,0,0,0
537888,6882,1,5,0
269602,220848,0,0,0
121929,409740,1,3,1
193923,21223,1,5,0
343752,16142,1,3,0
221329,83338,0,0,0
